,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
1,Ja'Marr Chase,CIN,WR,1.10,1.80,170.00,2.65,1.17,2.00,1.10,1.20,23.93,,,
2,Saquon Barkley,PHI,RB,6.03,2.00,170.00,5.92,5.01,6.20,5.70,8.70,23.03,,,
3,Bijan Robinson,ATL,RB,2.51,3.10,170.00,4.19,2.53,4.30,2.50,2.40,20.48,,,
4,Jahmyr Gibbs,DET,RB,4.60,4.10,170.00,5.61,4.02,6.40,3.00,4.90,18.90,,,
5,Justin Jefferson,MIN,WR,4.63,5.50,170.00,8.80,5.64,8.90,4.30,3.10,21.12,,,
T6,CeeDee Lamb,DAL,WR,5.47,6.50,170.00,7.89,5.20,11.50,12.20,6.80,20.75,,,
T6,Amon-Ra St. Brown,DET,WR,10.69,6.50,170.00,11.94,10.40,13.20,13.20,9.20,19.24,,,
8,Derrick Henry,BAL,RB,12.71,8.20,170.00,12.88,13.59,15.20,33.90,27.70,22.47,,,
9,Christian McCaffrey,SF,RB,7.35,9.90,170.00,12.74,10.75,13.40,17.30,27.20,24.40,,,
10,Ashton Jeanty,LV,RB,10.15,10.00,170.00,5.74,10.78,12.20,13.50,5.70,31.53,,,
11,Puka Nacua,LAR,WR,8.96,11.30,170.00,16.20,13.52,19.10,11.70,11.20,14.93,,,
12,Malik Nabers,NYG,WR,9.70,12.00,170.00,16.05,9.82,17.40,15.00,6.70,15.18,,Ques,Knee - ACL
13,Nico Collins,HOU,WR,12.06,13.70,170.00,17.02,13.11,20.90,23.40,15.70,16.66,,,
14,Josh Jacobs,GB,RB,20.65,13.80,170.00,20.44,21.47,24.70,29.90,34.40,17.45,,,
15,De'Von Achane,MIA,RB,14.86,15.20,170.00,21.45,15.86,20.60,18.00,17.60,12.66,,,
16,Brian Thomas,JAX,WR,14.43,16.60,170.00,21.47,12.07,22.40,27.70,13.90,14.98,,,
17,Drake London,ATL,WR,17.34,17.40,170.00,23.99,15.26,23.10,25.20,19.30,13.35,,,
18,Josh Allen,BUF,QB,25.15,18.70,170.00,6.28,26.69,1.20,19.00,12.60,21.22,,Ques,Foot
19,A.J. Brown,PHI,WR,19.90,19.70,170.00,25.29,21.77,27.40,34.00,23.80,15.95,,,
20,Brock Bowers,LV,TE,17.82,20.40,170.00,23.97,19.75,18.90,21.00,10.30,12.52,,Ques,Knee - PCL
21,Lamar Jackson,BAL,QB,28.49,20.70,170.00,10.36,25.14,3.90,16.50,16.80,19.73,,,
22,Jonathan Taylor,IND,RB,20.01,22.60,170.00,20.08,21.39,26.90,20.90,24.60,18.44,,,
23,Bucky Irving,TB,RB,22.21,23.30,170.00,24.04,20.69,27.90,24.30,18.70,12.78,,,
24,Ladd McConkey,LAC,WR,21.82,24.70,170.00,29.74,22.30,31.50,30.40,20.20,10.55,,,
25,Chase Brown,CIN,RB,18.02,25.20,170.00,26.39,21.25,33.20,43.20,37.50,13.12,,,
26,Kyren Williams,LAR,RB,27.52,26.80,170.00,23.04,27.57,32.00,32.20,30.00,15.87,,,
27,Trey McBride,ARI,TE,25.36,27.30,170.00,29.73,27.31,25.40,26.50,26.80,11.53,,,
28,Tyreek Hill,FA,WR,31.13,27.70,170.00,37.51,34.43,41.70,64.40,55.90,16.62,,Ques,Knee - ACL
29,James Cook,BUF,RB,35.23,29.00,170.00,29.68,37.65,38.30,27.60,38.30,11.69,,,
30,Jaxon Smith-Njigba,SEA,WR,27.06,30.30,170.00,34.75,28.49,36.50,22.80,31.40,9.31,,,
31,Tee Higgins,CIN,WR,27.03,31.70,170.00,36.51,29.87,39.70,44.50,40.10,12.71,,,
32,Jayden Daniels,WAS,QB,36.38,32.30,170.00,16.52,36.21,5.40,39.90,13.60,12.51,,Ques,Elbow
33,Jalen Hurts,PHI,QB,43.33,33.80,170.00,19.49,42.88,10.30,38.40,29.90,15.90,,,
34,Alvin Kamara,NO,RB,43.93,34.50,170.00,35.81,47.99,45.40,66.70,61.60,14.29,,Ques,Knee - MCL
35,Joe Burrow,CIN,QB,39.59,34.90,170.00,16.38,33.75,9.40,60.20,25.60,15.86,,,
36,George Kittle,SF,TE,40.62,36.60,170.00,39.90,42.63,34.40,59.30,53.80,11.98,,Ques,Achilles
37,Omarion Hampton,LAC,RB,30.02,37.60,170.00,16.04,36.61,37.80,31.80,20.40,21.03,,,
38,Garrett Wilson,NYJ,WR,32.67,38.40,170.00,41.72,30.02,44.30,37.10,32.10,9.06,,Ques,Knee
39,Breece Hall,NYJ,RB,35.38,39.00,170.00,35.16,40.72,40.10,34.70,33.90,10.42,,Ques,Knee
40,Mike Evans,TB,WR,37.03,40.90,170.00,38.59,39.95,47.10,87.50,62.40,14.05,,,
41,Marvin Harrison,ARI,WR,31.60,41.40,170.00,41.15,35.18,34.70,36.70,22.60,9.99,,Ques,Foot
42,Terry McLaurin,WAS,WR,46.16,41.50,170.00,42.31,41.00,46.10,58.10,41.50,10.71,,,
43,Kenneth Walker,SEA,RB,47.03,43.90,170.00,39.25,43.55,50.50,50.10,43.00,9.93,,,
44,DK Metcalf,PIT,WR,52.98,44.30,170.00,51.50,49.25,55.20,53.10,58.20,11.00,,,
45,Davante Adams,LAR,WR,38.41,45.60,170.00,46.60,38.61,54.20,62.10,74.70,14.22,,,
46,Chuba Hubbard,CAR,RB,50.24,46.50,170.00,47.78,50.74,53.20,57.10,52.30,11.85,,,
47,Sam LaPorta,DET,TE,63.89,47.40,170.00,51.55,68.95,48.10,41.50,41.90,6.30,,Ques,Back
48,James Conner,ARI,RB,55.95,48.20,170.00,44.15,57.89,60.50,113.50,72.40,12.90,,Ques,Foot
